throw1,throw2,throw3,sum,player,players,date
45,108,41,194,Evgenii,Evgenii,2021-08-31
23,37,43,103,Evgenii,Evgenii,2021-08-31
58,89,28,175,Evgenii,Evgenii,2021-08-31
33,115,67,215,Evgenii,Evgenii,2021-08-31
45,43,33,121,Evgenii,Evgenii,2021-08-31
16,31,24,71,Evgenii,Evgenii,2021-08-31
49,53,33,135,Evgenii,Evgenii,2021-08-31
10,154,38,202,Evgenii,Evgenii,2021-08-31
170,104,119,393,Evgenii,Evgenii,2021-08-31
31,16,24,71,Evgenii,Evgenii,2021-08-31
14,44,22,80,Evgenii,Evgenii,2021-08-31
38,41,40,119,Evgenii,Evgenii,2021-08-31
25,26,34,85,Evgenii,Evgenii,2021-08-31
28,45,49,122,Evgenii,Evgenii,2021-08-31
32,43,24,99,Evgenii,Evgenii,2021-08-31
30,117,120,267,Evgenii,Evgenii,2021-08-31
37,44,29,110,Evgenii,Evgenii,2021-08-31
27,9,32,68,Evgenii,Evgenii,2021-08-31
23,75,26,124,Evgenii,Evgenii,2021-08-31
26,35,41,102,Evgenii,Evgenii,2021-08-31
18,25,35,78,Evgenii,Evgenii,2021-08-31
67,30,40,137,Evgenii,Evgenii,2021-08-31
39,36,32,107,Evgenii,Evgenii,2021-08-31
41,35,16,92,Evgenii,Evgenii,2021-08-31
29,36,30,95,Evgenii,Evgenii,2021-08-31
44,25,16,85,Evgenii,Evgenii,2021-08-31
35,79,30,144,Evgenii,Evgenii,2021-08-31
36,19,42,97,Evgenii,Evgenii,2021-08-31
71,32,90,193,Evgenii,Evgenii,2021-08-31
17,32,16,65,Evgenii,Evgenii,2021-08-31
21,36,82,139,Evgenii,Evgenii,2021-08-31
41,11,53,105,Evgenii,Evgenii,2021-08-31
16,48,24,88,Evgenii,Evgenii,2021-08-31
30,28,94,152,Evgenii,Evgenii,2021-08-31
35,51,23,109,Evgenii,Evgenii,2021-08-31
41,24,77,142,Evgenii,Evgenii,2021-08-31
52,58,24,134,Evgenii,Evgenii,2021-08-31
38,26,35,99,Evgenii,Evgenii,2021-08-31
22,51,50,123,Evgenii,Evgenii,2021-08-31
28,39,40,107,Evgenii,Evgenii,2021-08-31
82,63,18,163,Evgenii,Evgenii,2021-08-31
35,62,14,111,Evgenii,Evgenii,2021-08-31
15,16,41,72,Evgenii,Evgenii,2021-08-31
34,7,20,61,Evgenii,Evgenii,2021-08-31
76,32,87,195,Evgenii,Evgenii,2021-08-31
69,34,37,140,Evgenii,Evgenii,2021-08-31
18,45,34,97,Evgenii,Evgenii,2021-08-31
39,48,64,151,Evgenii,Evgenii,2021-08-31
26,24,80,130,Evgenii,Evgenii,2021-08-31
19,45,65,129,Evgenii,Evgenii,2021-08-31
28,22,27,77,Evgenii,Evgenii,2021-08-31
57,37,22,116,Evgenii,Evgenii,2021-09-01
52,34,26,112,Evgenii,Evgenii,2021-09-01
18,9,30,57,Evgenii,Evgenii,2021-09-01
78,60,49,187,Evgenii,Evgenii,2021-09-01
55,12,57,124,Evgenii,Evgenii,2021-09-01
21,12,29,62,Evgenii,Evgenii,2021-09-01
32,24,21,77,Evgenii,Evgenii,2021-09-01
50,73,31,154,Evgenii,Evgenii,2021-09-01
83,9,56,148,Evgenii,Evgenii,2021-09-01
35,35,19,89,Evgenii,Evgenii,2021-09-01
42,15,23,80,Evgenii,Evgenii,2021-09-01
24,32,128,184,Evgenii,Evgenii,2021-09-01
45,44,81,170,Evgenii,Evgenii,2021-09-01
70,101,12,183,Evgenii,Evgenii,2021-09-01
38,33,22,93,Evgenii,Evgenii,2021-09-01
27,39,38,104,Evgenii,Evgenii,2021-09-01
31,28,94,153,Evgenii,Evgenii,2021-09-01
30,28,28,86,Evgenii,Evgenii,2021-09-01
51,31,43,125,Evgenii,Evgenii,2021-09-01
34,25,25,84,Evgenii,Evgenii,2021-09-01
40,20,19,79,Evgenii,Evgenii,2021-09-01
26,42,67,135,Evgenii,Evgenii,2021-09-01
72,13,9,94,Evgenii,Evgenii,2021-09-01
92,35,36,163,Evgenii,Evgenii,2021-09-01
15,41,25,81,Evgenii,Evgenii,2021-09-01
42,32,18,92,Evgenii,Evgenii,2021-09-01
66,80,46,192,Evgenii,Evgenii,2021-09-01
19,43,40,102,Evgenii,Evgenii,2021-09-01
25,80,80,185,Evgenii,Evgenii,2021-09-01
122,49,26,197,Evgenii,Evgenii,2021-09-01
34,21,47,102,Evgenii,Evgenii,2021-09-01
26,20,32,78,Evgenii,Evgenii,2021-09-01
16,14,22,52,Evgenii,Evgenii,2021-09-01
24,29,38,91,Evgenii,Evgenii,2021-09-01
80,55,57,192,Evgenii,Evgenii,2021-09-01
39,77,30,146,Evgenii,Evgenii,2021-09-01
13,26,36,75,Evgenii,Evgenii,2021-09-01
34,64,33,131,Evgenii,Evgenii,2021-09-01
116,77,75,268,Evgenii,Evgenii,2021-09-01
65,47,33,145,Evgenii,Evgenii,2021-09-01
41,12,26,79,Evgenii,Evgenii,2021-09-03
32,40,24,96,Evgenii,Evgenii,2021-09-03
3,18,34,55,Evgenii,Evgenii,2021-09-03
64,33,23,120,Evgenii,Evgenii,2021-09-03
26,12,23,61,Evgenii,Evgenii,2021-09-03
34,22,66,122,Evgenii,Evgenii,2021-09-03
127,87,65,279,Evgenii,Evgenii,2021-09-03
31,82,22,135,Evgenii,Evgenii,2021-09-03
42,44,52,138,Evgenii,Evgenii,2021-09-03
66,33,57,156,Evgenii,Evgenii,2021-09-03
43,37,29,109,Evgenii,Evgenii,2021-09-03
24,34,74,132,Evgenii,Evgenii,2021-09-03
91,27,23,141,Evgenii,Evgenii,2021-09-03
155,38,13,206,Evgenii,Evgenii,2021-09-03
39,29,24,92,Evgenii,Evgenii,2021-09-03
38,43,15,96,Evgenii,Evgenii,2021-09-03
10,23,41,74,Evgenii,Evgenii,2021-09-03
12,131,123,266,Evgenii,Evgenii,2021-09-03
45,24,38,107,Evgenii,Evgenii,2021-09-03
25,34,71,130,Evgenii,Evgenii,2021-09-03
74,39,50,163,Evgenii,Evgenii,2021-09-03
42,29,58,129,Evgenii,Evgenii,2021-09-03
28,21,20,69,Evgenii,Evgenii,2021-09-03
79,23,65,167,Evgenii,Evgenii,2021-09-04
43,132,72,247,Evgenii,Evgenii,2021-09-04
56,33,38,127,Evgenii,Evgenii,2021-09-04
65,23,32,120,Evgenii,Evgenii,2021-09-04
31,156,51,238,Evgenii,Evgenii,2021-09-04
24,77,35,136,Evgenii,Evgenii,2021-09-04
70,24,26,120,Evgenii,Evgenii,2021-09-04
31,28,117,176,Evgenii,Evgenii,2021-09-04
35,68,45,148,Evgenii,Evgenii,2021-09-04
32,25,27,84,Evgenii,Evgenii,2021-09-04
30,30,77,137,Evgenii,Evgenii,2021-09-04
25,59,16,100,Evgenii,Evgenii,2021-09-04
25,48,38,111,Evgenii,Evgenii,2021-09-04
46,27,11,84,Evgenii,Evgenii,2021-09-04
31,115,40,186,Evgenii,Evgenii,2021-09-04
41,42,32,115,Evgenii,Evgenii,2021-09-04
38,36,27,101,Evgenii,Evgenii,2021-09-04
21,44,20,85,Evgenii,Evgenii,2021-09-04
16,24,125,165,Evgenii,Evgenii,2021-09-04
77,90,44,211,Evgenii,Evgenii,2021-09-04
21,68,40,129,Evgenii,Evgenii,2021-09-04
63,34,50,147,Evgenii,Evgenii,2021-09-04
11,46,42,99,Evgenii,Evgenii,2021-09-04
48,77,29,154,Evgenii,Evgenii,2021-09-04
